date,name,continent,confirm,suspect,dead,heal
2020-06-22,赞比亚,非洲,1430,0,11,1194
2020-06-22,巴拉圭,南美洲,1379,0,13,871
2020-06-22,塞拉利昂,非洲,1327,0,55,788
2020-06-22,突尼斯,非洲,1157,0,50,1020
2020-06-22,拉脱维亚,欧洲,1111,0,30,903
2020-06-22,尼日尔,非洲,1036,0,67,911
2020-06-22,约旦,亚洲,1033,0,9,739
2020-06-22,塞浦路斯,亚洲,986,0,19,824
2020-06-22,也门,亚洲,941,0,256,347
2020-06-22,巴勒斯坦,亚洲,915,0,3,439
2020-06-22,格鲁吉亚,亚洲,908,0,14,761
2020-06-22,布基纳法索,非洲,903,0,53,814
2020-06-22,佛得角,非洲,890,0,8,413
2020-06-22,刚果（布）,非洲,883,0,27,391
2020-06-22,乌拉圭,南美洲,876,0,25,814
2020-06-22,乍得,非洲,858,0,74,752
2020-06-22,安道尔,欧洲,855,0,52,792
2020-06-22,乌干达,非洲,770,0,0,578
2020-06-22,贝宁,非洲,765,0,13,253
2020-06-22,莫桑比克,非洲,733,0,5,181
2020-06-22,马拉维,非洲,730,0,11,258
2020-06-22,卢旺达,非洲,728,0,2,359
2020-06-22,钻石号邮轮,其他,712,0,13,651
2020-06-22,圣马力诺,欧洲,696,0,42,610
2020-06-22,马耳他,欧洲,665,0,9,616
2020-06-22,牙买加,北美洲,659,0,10,516
2020-06-22,斯威士兰,非洲,635,0,5,285
2020-06-22,利比里亚,非洲,626,0,34,254
2020-06-22,利比亚,非洲,571,0,10,103
2020-06-22,多哥,非洲,569,0,13,375
2020-06-22,坦桑尼亚,非洲,509,0,21,183
2020-06-22,津巴布韦,非洲,489,0,6,64
2020-06-22,黑山,欧洲,362,0,9,315
2020-06-22,越南,亚洲,349,0,0,327
2020-06-22,毛里求斯,非洲,337,0,10,326
2020-06-22,苏里南,南美洲,314,0,8,106
2020-06-22,缅甸,亚洲,290,0,6,200
2020-06-22,科摩罗,非洲,247,0,5,159
2020-06-22,蒙古,亚洲,213,0,0,153
2020-06-22,叙利亚,亚洲,204,0,7,83
2020-06-22,圭亚那,南美洲,184,0,12,103
2020-06-22,安哥拉,非洲,183,0,9,77
2020-06-22,布隆迪,非洲,144,0,1,93
2020-06-22,厄立特里亚,非洲,143,0,0,39
2020-06-22,文莱,亚洲,141,0,3,138
2020-06-22,柬埔寨,亚洲,129,0,0,127
2020-06-22,特立尼达和多巴哥,,123,0,8,109
2020-06-22,巴哈马,北美洲,104,0,11,77
2020-06-22,摩纳哥,欧洲,100,0,4,94
2020-06-22,巴巴多斯,北美洲,97,0,7,85
2020-06-22,博茨瓦纳,非洲,89,0,1,25
2020-06-22,列支敦士登公国,欧洲,82,0,1,55
2020-06-22,不丹,亚洲,68,0,0,32
2020-06-22,纳米比亚,非洲,63,0,0,21
2020-03-23,马提尼克岛,北美洲,37,0,1,0
2020-06-22,冈比亚,非洲,37,0,2,24
2020-06-22,圣文森特和格林纳丁斯,北美洲,29,0,0,26
2020-06-22,安提瓜和巴布达,北美洲,26,0,3,22
2020-06-22,东帝汶,亚洲,24,0,0,24
2020-06-22,格林纳达,北美洲,23,0,0,23
2020-06-22,伯利兹,北美洲,22,0,2,17
2020-06-22,圣卢西亚,北美洲,19,0,0,18
2020-06-22,老挝,亚洲,19,0,0,19
2020-06-22,多米尼克,北美洲,18,0,0,18
2020-06-22,斐济,大洋洲,18,0,0,18
2020-06-22,圣基茨和尼维斯,北美洲,15,0,0,15
2020-06-22,梵蒂冈,欧洲,12,0,0,12
2020-06-22,塞舌尔,非洲,11,0,0,11
2020-06-22,巴布亚新几内亚,大洋洲,8,0,0,8
2020-06-22,莱索托,非洲,4,0,0,2
